,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
174,38.268406265327705,50.0,1815.0,0.0,,2.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.44614,-99.15868,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.89,4.89,4.67,5.0,4.78,5.0,4.89,0.1
437,83.39949156933638,50.0,182.0,86.0,,2.0,11,346,41.0,71.0,1.0,3.0,2,0.0,0,2,,19.32944,-99.16091,1125.0,2.0,1125,1125.0,1125.0,1.0,1.0,1.3,9.0,0.0,5.0,4.89,4.89,4.67,5.0,4.78,5.0,4.89,0.1
443,90.74641243277964,90.0,450.0,100.0,,2.2,1,302,55.8,27.0,1.0,12.0,1,0.0,0,1,,19.44329,-99.10947,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,6.3,1.0,17.0,4.83,4.94,4.93,4.91,4.68,4.83,4.93,0.73
472,88.64729218608156,100.0,272.0,96.0,,2.2,26,354,56.0,86.0,1.0,2.0,2,0.0,1,1,,19.43883,-99.15283,1125.0,2.0,1125,1125.0,1125.0,2.0,2.0,2.0,25.0,0.0,3.0,4.8,4.68,4.48,4.72,4.8,4.4,4.6,0.26
499,90.74641243277964,100.0,320.0,100.0,,2.0,16,351,46.0,76.0,1.0,1.0,2,0.0,1,1,,19.35409,-99.1566,1125.0,2.0,30,1125.0,1125.0,2.0,2.0,2.0,6.3,1.0,4.0,4.7,4.86,4.62,4.9,4.9,4.58,4.57,1.47
515,38.268406265327705,33.0,200.0,0.0,,1.0,28,363,58.0,88.0,1.0,1.0,1,0.0,0,1,,19.42006,-99.15327,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,0.01
579,72.90389033584599,95.0,5030.0,66.0,,2.2,30,365,60.0,90.0,1.0,2.0,19,2.0,11,2,,19.42884,-99.13573,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,0.01
615,83.39949156933638,50.0,182.0,86.0,,2.0,12,347,42.0,72.0,1.0,3.0,2,0.0,0,2,,19.33435,-99.16144,1125.0,2.0,1125,1125.0,1125.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,0.01
663,87.07295200105801,90.0,246.0,93.0,,2.2,26,361,56.0,86.0,1.0,8.0,1,0.0,0,1,,19.42818,-99.16122,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,6.3,3.0,3.3,4.65,4.75,4.51,4.7,4.86,4.58,4.59,1.17
1166,38.268406265327705,0.0,3800.0,0.0,,2.0,30,365,60.0,90.0,1.0,2.0,1,0.0,0,1,,19.40665,-99.15955,34.0,4.0,34,34.0,34.0,4.0,4.0,4.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,5.0,4.5,5.0,0.02
1243,38.268406265327705,0.0,222.0,0.0,,2.0,29,89,59.0,89.0,1.0,1.0,1,0.0,0,1,,19.37201,-99.2,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,2.0,0.0,0.0,4.5,4.5,4.5,4.5,5.0,4.5,5.0,0.02
1384,86.5481719393835,100.0,799.0,92.0,,2.0,21,351,46.0,76.0,1.0,2.0,17,0.0,15,2,,19.36783,-99.2,1124.0,1.0,1124,1124.0,1124.0,1.0,1.0,1.0,16.0,0.0,0.0,5.0,4.75,4.69,4.88,4.94,4.75,4.88,0.22
1408,86.5481719393835,100.0,799.0,92.0,,4.0,20,355,50.0,80.0,1.0,2.0,17,0.0,15,2,,19.36686,-99.2,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,12.0,0.0,0.0,4.83,4.92,4.92,4.92,4.92,4.67,4.75,0.17
